code;libelle;gid
46.74B;Commerce de gros (commerce interentreprises) de fournitures pour la plomberie et le chauffage;430
46.75Z;Commerce de gros (commerce interentreprises) de produits chimiques;431
46.76Z;Commerce de gros (commerce interentreprises) d'autres produits intermédiaires;432
46.77Z;Commerce de gros (commerce interentreprises) de déchets et débris;433
46.90Z;Commerce de gros (commerce interentreprises) non spécialisé;434
47.11A;Commerce de détail de produits surgelés;435
47.11B;Commerce d'alimentation générale;436
47.11C;Supérettes;437
47.11D;Supermarchés;438
47.11E;Magasins multi-commerces;439
47.11F;Hypermarchés;440
47.19A;Grands magasins;441
47.19B;Autres commerces de détail en magasin non spécialisé;442
47.21Z;Commerce de détail de fruits et légumes en magasin spécialisé;443
47.22Z;Commerce de détail de viandes et de produits à base de viande en magasin spécialisé;444
47.23Z;Commerce de détail de poissons, crustacés et mollusques en magasin spécialisé;445
47.24Z;Commerce de détail de pain, pâtisserie et confiserie en magasin spécialisé;446
47.25Z;Commerce de détail de boissons en magasin spécialisé;447
47.26Z;Commerce de détail de produits à base de tabac en magasin spécialisé;448
47.29Z;Autres commerces de détail alimentaires en magasin spécialisé ;449
47.30Z;Commerce de détail de carburants en magasin spécialisé;450
47.41Z;Commerce de détail d'ordinateurs, d'unités périphériques et de logiciels en magasin spécialisé;451
47.42Z;Commerce de détail de matériels de télécommunication en magasin spécialisé;452
47.43Z;Commerce de détail de matériels audio et vidéo en magasin spécialisé;453
47.51Z;Commerce de détail de textiles en magasin spécialisé;454
47.52A;Commerce de détail de quincaillerie, peintures et verres en petites surfaces (moins de 400 m2);455
47.52B;Commerce de détail de quincaillerie, peintures et verres en grandes surfaces (400 m2et plus);456
47.53Z;Commerce de détail de tapis, moquettes et revêtements de murs et de sols en magasin spécialisé;457
47.54Z;Commerce de détail d'appareils électroménagers en magasin spécialisé;458
47.59A;Commerce de détail de meubles;459
47.59B;Commerce de détail d'autres équipements du foyer;460
47.61Z;Commerce de détail de livres en magasin spécialisé;461
47.62Z;Commerce de détail de journaux et papeterie en magasin spécialisé;462
47.63Z;Commerce de détail d'enregistrements musicaux et vidéo en magasin spécialisé;463
47.64Z;Commerce de détail d'articles de sport en magasin spécialisé;464
47.65Z;Commerce de détail de jeux et jouets en magasin spécialisé;465
47.71Z;Commerce de détail d'habillement en magasin spécialisé;466
47.72A;Commerce de détail de la chaussure;467
47.72B;Commerce de détail de maroquinerie et d'articles de voyage;468
47.73Z;Commerce de détail de produits pharmaceutiques en magasin spécialisé;469
47.74Z;Commerce de détail d'articles médicaux et orthopédiques en magasin spécialisé;470
47.75Z;Commerce de détail de parfumerie et de produits de beauté en magasin spécialisé;471
47.76Z;Commerce de détail de fleurs, plantes, graines, engrais, animaux de compagnie et aliments pour ces animaux en magasin spécialisé;472
47.77Z;Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé;473
47.78A;Commerces de détail d'optique;474
47.78B;Commerces de détail de charbons et combustibles;475
47.78C;Autres commerces de détail spécialisés divers;476
47.79Z;Commerce de détail de biens d'occasion en magasin;477
47.81Z;Commerce de détail alimentaire sur éventaires et marchés;478
47.82Z;Commerce de détail de textiles, d'habillement et de chaussures sur éventaires et marchés;479
47.89Z;Autres commerces de détail sur éventaires et marchés;480
47.91A;Vente à distance sur catalogue général;481
47.91B;Vente à distance sur catalogue spécialisé;482
47.99A;Vente à domicile;483
47.99B;Vente par automates et autres commerces de détail hors magasin, éventaires ou marchés n.c.a.;484
49.10Z;Transport ferroviaire interurbain de voyageurs;485
49.20Z;Transports ferroviaires de fret ;486
49.31Z;Transports urbains et suburbains de voyageurs;487
49.32Z;Transports de voyageurs par taxis;488
49.39A;Transports routiers réguliers de voyageurs;489
49.39B;Autres transports routiers de voyageurs ;490
49.39C;Téléphériques et remontées mécaniques;491
49.41A;Transports routiers de fret interurbains;492
49.41B;Transports routiers de fret de proximité;493
49.41C;Location de camions avec chauffeur;494
49.42Z;Services de déménagement;495
49.50Z;Transports par conduites;496
50.10Z;Transports maritimes et côtiers de passagers;497
50.20Z;Transports maritimes et côtiers de fret;498
50.30Z;Transports fluviaux de passagers;499
50.40Z;Transports fluviaux de fret ;500
51.10Z;Transports aériens de passagers;501
51.21Z;Transports aériens de fret;502
51.22Z;Transports spatiaux;503
52.10A;Entreposage et stockage frigorifique;504
52.10B;Entreposage et stockage non frigorifique;505
52.21Z;Services auxiliaires des transports terrestres;506
52.22Z;Services auxiliaires des transports par eau;507
52.23Z;Services auxiliaires des transports aériens;508
52.24A;Manutention portuaire;509
52.24B;Manutention non portuaire;510
52.29A;Messagerie, fret express;511
52.29B;Affrètement et organisation des transports ;512
53.10Z;Activités de poste dans le cadre d'une obligation de service universel ;513
53.20Z;Autres activités de poste et de courrier;514
55.10Z;Hôtels et hébergement similaire ;515
55.20Z;Hébergement touristique et autre hébergement de courte durée ;516
55.30Z;Terrains de camping et parcs pour caravanes ou véhicules de loisirs;517
55.90Z;Autres hébergements ;518
56.10A;Restauration traditionnelle;519
56.10B;Cafétérias et autres libres-services;520
56.10C;Restauration de type rapide;521
56.21Z;Services des traiteurs ;522
56.29A;Restauration collective sous contrat;523
56.29B;Autres services de restauration n.c.a.;524
